,X.,event,Theme,Account.Users,Metric.Count,Graph.Origin,Number.of.Graphs.on.Dashboard,number.of.graphs,time,Company.ID,Graphs.owned,weekday,X_city,Connector.Backend,Template,Data.Sources.Owned,Data.Format,Account.Type,dashboard.Template.Name,KPI.Count,Client,source,Graph.Origin,Guide.Name,Guide.Type,,,
107,107,Guide Start,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
108,108,Build Graph from Template,,1,NA,,NA,50,8/1/2018 0:11,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,,,,26,,Direct,,NA,,26,,,,,,
109,109,Graph Saved,,1,NA,Custom,NA,15,8/1/2018 0:11,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,,,,4,,Direct,,NA,,4,Custom,,,,,
110,110,Edit Graphs,,1,NA,Custom,NA,47,8/1/2018 0:11,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,Custom,,,,,
111,111,View Dashboard,Dark,1,NA,,NA,8,8/1/2018 0:11,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
112,112,Guide Exit,,1,NA,,NA,8,8/1/2018 0:11,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
113,113,Edit Graphs,,1,NA,Custom,NA,8,8/1/2018 0:11,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,Custom,,,,,
114,114,Switch,,118,NA,,NA,0,8/1/2018 0:11,d3a3f99b312aecb7ea7fdb88817ddbc4,NA,Wednesday,Frisco,,,0,,Direct,,NA,Phone App,0,,,,,,
115,115,View Dashboard,Light,5,NA,,NA,0,8/1/2018 0:11,716710665c939a34c93ad4237340581a,NA,Wednesday,American Fork,,,0,,Direct,,NA,Phone App,0,,,,,,
116,116,Switch,,13,NA,,NA,0,8/1/2018 0:12,938922ddb1a818ff3b39b8178ba9a3a1,NA,Wednesday,Ho Chi Minh City,,,0,,Direct,,NA,Phone App,0,,,,,,
117,117,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:12,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
118,118,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:12,0cb9a8a08a803866118c0d5aaea84ba7,NA,Wednesday,Yarraville,,,2,,Direct,,NA,,2,,,,,,
119,119,View Dashboard,Light,50,NA,,NA,0,8/1/2018 0:13,d9e907d966a6cdbba901bb5e753459ba,NA,Wednesday,Sandy,,,0,,Direct,,NA,Phone App,0,,,,,,
120,120,Edit Graphs,,1,NA,Custom,NA,47,8/1/2018 0:13,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,Custom,,,,,
121,121,Edit Graphs,,1,NA,Custom,NA,47,8/1/2018 0:14,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,Custom,,,,,
122,122,View Dashboard,Dark,1,NA,,NA,47,8/1/2018 0:14,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,,,,,,
123,123,Edit Graph from Dashboard,,1,NA,Custom,NA,8,8/1/2018 0:14,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,Custom,,,,,
